movieId,title,genres,tags
42,Dead Presidents (1995),Action|Crime|Drama,"Dead, Presidents, Fast-Paced, Exciting, Adrenaline"
43,Restoration (1995),Drama,"Restoration, Emotional, Serious, Thought-Provoking"
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"Mortal, Kombat, Fast-Paced, Exciting, Adrenaline"
45,To Die For (1995),Comedy|Drama|Thriller,"Die, Funny, Lighthearted, Satire, Emotional"
46,How to Make an American Quilt (1995),Drama|Romance,"How, Make, American, Quilt, Emotional"
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"Seven, K, Se7en, Intriguing, Puzzling"
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"Pocahontas, Family-Friendly, Colorful, Fun, Educational"
49,When Night Is Falling (1995),Drama|Romance,"When, Night, Is, Falling, Emotional"
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Usual, Suspects, Suspense, Noir, Intriguing"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"Mighty, Aphrodite, Funny, Lighthearted, Satire"
53,Lamerica (1994),Adventure|Drama,"Lamerica, Epic, Action-Packed, Exciting, Emotional"
54,"Big Green, The (1995)",Children|Comedy,"Big, Green, Family-Friendly, Educational, Wholesome"
55,Georgia (1995),Drama,"Georgia, Emotional, Serious, Thought-Provoking"
57,Home for the Holidays (1995),Drama,"Home, Holidays, Emotional, Serious, Thought-Provoking"
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Postman, Postino, Il, Funny, Lighthearted"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Indian, Cupboard, Epic, Action-Packed, Exciting"
61,Eye for an Eye (1996),Drama|Thriller,"Eye, Emotional, Serious, Thought-Provoking, Suspenseful"
62,Mr. Holland's Opus (1995),Drama,"Mr, Holland, S, Opus, Emotional"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"Don, T, Be, Menace, South, Funny"
64,Two if by Sea (1996),Comedy|Romance,"Two, If, Sea, Funny, Lighthearted"
65,Bio-Dome (1996),Comedy,"Bio, Dome, Funny, Lighthearted, Satire"
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"Lawnmower, Man, 2, Beyond, Cyberspace, Fast-Paced"
68,French Twist (Gazon maudit) (1995),Comedy|Romance,"French, Twist, Gazon, Maudit, Funny"
69,Friday (1995),Comedy,"Friday, Funny, Lighthearted, Satire"
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"Dusk, Till, Dawn, Fast-Paced, Exciting"
71,Fair Game (1995),Action,"Fair, Game, Fast-Paced, Exciting, Adrenaline"
72,Kicking and Screaming (1995),Comedy|Drama,"Kicking, Screaming, Funny, Lighthearted, Satire"
73,"Misérables, Les (1995)",Drama|War,"Misérables, Les, Emotional, Serious, Thought-Provoking"
74,Bed of Roses (1996),Drama|Romance,"Bed, Roses, Emotional, Serious, Thought-Provoking"
75,Big Bully (1996),Comedy|Drama,"Big, Bully, Funny, Lighthearted, Satire"
76,Screamers (1995),Action|Sci-Fi|Thriller,"Screamers, Fast-Paced, Exciting, Adrenaline, Futuristic"
77,Nico Icon (1995),Documentary,"Nico, Icon, Informative, Real-Life, Educational"
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"Crossing, Guard, Fast-Paced, Exciting, Adrenaline"
79,"Juror, The (1996)",Drama|Thriller,"Juror, Emotional, Serious, Thought-Provoking, Suspenseful"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"White, Balloon, Badkonake, Sefid, Family-Friendly"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,"Things, Do, Denver, When, You, Thriller"
82,Antonia's Line (Antonia) (1995),Comedy|Drama,"Antonia, S, Line, Funny, Lighthearted"
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,"Once, Upon, Time, When, We, Emotional"
85,Angels and Insects (1995),Drama|Romance,"Angels, Insects, Emotional, Serious, Thought-Provoking"
86,White Squall (1996),Action|Adventure|Drama,"White, Squall, Fast-Paced, Exciting, Adrenaline"
87,Dunston Checks In (1996),Children|Comedy,"Dunston, Checks, Family-Friendly, Educational, Wholesome"
88,Black Sheep (1996),Comedy,"Black, Sheep, Funny, Lighthearted, Satire"
89,Nick of Time (1995),Action|Thriller,"Nick, Time, Fast-Paced, Exciting, Adrenaline"
92,Mary Reilly (1996),Drama|Horror|Thriller,"Mary, Reilly, Emotional, Serious, Thought-Provoking"
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,"Vampire, Brooklyn, Funny, Lighthearted, Satire"
94,Beautiful Girls (1996),Comedy|Drama|Romance,"Beautiful, Girls, Funny, Lighthearted, Satire"
95,Broken Arrow (1996),Action|Adventure|Thriller,"Broken, Arrow, Fast-Paced, Exciting, Adrenaline"
96,In the Bleak Midwinter (1995),Comedy|Drama,"Bleak, Midwinter, Funny, Lighthearted, Satire"
97,"Hate (Haine, La) (1995)",Crime|Drama,"Hate, Haine, La, Thriller, Suspense"
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,"Heidi, Fleiss, Hollywood, Madam, Informative"
100,City Hall (1996),Drama|Thriller,"City, Hall, Emotional, Serious, Thought-Provoking"
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,"Bottle, Rocket, Epic, Action-Packed, Exciting"
102,Mr. Wrong (1996),Comedy,"Mr, Wrong, Funny, Lighthearted, Satire"
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,"Unforgettable, Intriguing, Puzzling, Suspense, Futuristic"
104,Happy Gilmore (1996),Comedy,"Happy, Gilmore, Funny, Lighthearted, Satire"
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges, Madison, County, Emotional, Serious"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,"Nobody, Loves, Me, Keiner, Liebt, Funny"
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,"Muppet, Treasure, Island, Epic, Action-Packed"
108,Catwalk (1996),Documentary,"Catwalk, Informative, Real-Life, Educational"
110,Braveheart (1995),Action|Drama|War,"Braveheart, Fast-Paced, Exciting, Adrenaline, Emotional"
111,Taxi Driver (1976),Crime|Drama|Thriller,"Taxi, Driver, Suspense, Noir, Emotional"
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,"Rumble, Bronx, Hont, Faan, Kui, Fast-Paced"
113,Before and After (1996),Drama|Mystery,"Before, After, Emotional, Serious, Thought-Provoking"
116,Anne Frank Remembered (1995),Documentary,"Anne, Frank, Remembered, Informative, Real-Life"
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"Young, Poisoner, S, Handbook, Thriller"
118,If Lucy Fell (1996),Comedy|Romance,"If, Lucy, Fell, Funny, Lighthearted"
119,"Steal Big, Steal Little (1995)",Comedy,"Steal, Big, Little, Funny, Lighthearted"
121,"Boys of St. Vincent, The (1992)",Drama,"Boys, St, Vincent, Emotional, Serious"
122,Boomerang (1992),Comedy|Romance,"Boomerang, Funny, Lighthearted, Satire, Romantic"
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,"Chungking, Express, Chung, Hing, Sam, Emotional"
125,Flirting With Disaster (1996),Comedy,"Flirting, Disaster, Funny, Lighthearted, Satire"
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,"Neverending, Story, Epic, Action-Packed, Exciting"
128,Jupiter's Wife (1994),Documentary,"Jupiter, S, Wife, Informative, Real-Life"
129,Pie in the Sky (1996),Comedy|Romance,"Pie, Sky, Funny, Lighthearted, Satire"
132,Jade (1995),Thriller,"Jade, Suspenseful, Tense, Edge-of-Seat"
135,Down Periscope (1996),Comedy,"Down, Periscope, Funny, Lighthearted, Satire"
137,Man of the Year (1995),Documentary,"Man, Year, Informative, Real-Life, Educational"
140,Up Close and Personal (1996),Drama|Romance,"Up, Close, Personal, Emotional, Serious"
141,"Birdcage, The (1996)",Comedy,"Birdcage, Funny, Lighthearted, Satire"
144,"Brothers McMullen, The (1995)",Comedy,"Brothers, Mcmullen, Funny, Lighthearted, Satire"
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,"Bad, Boys, Fast-Paced, Exciting, Adrenaline"
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,"Amazing, Panda, Epic, Action-Packed, Exciting"
147,"Basketball Diaries, The (1995)",Drama,"Basketball, Diaries, Emotional, Serious, Thought-Provoking"
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully, Big, Adventure, Emotional, Serious"
149,Amateur (1994),Crime|Drama|Thriller,"Amateur, Suspense, Noir, Emotional, Serious"
150,Apollo 13 (1995),Adventure|Drama|IMAX,"Apollo, 13, Epic, Action-Packed, Exciting"
151,Rob Roy (1995),Action|Drama|Romance|War,"Rob, Roy, Fast-Paced, Exciting, Adrenaline"
152,"Addiction, The (1995)",Drama|Horror,"Addiction, Emotional, Serious, Thought-Provoking, Scary"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,"Batman, Forever, Fast-Paced, Exciting, Adrenaline"
154,Beauty of the Day (Belle de jour) (1967),Drama,"Beauty, Day, Belle, De, Jour, Emotional"
155,Beyond Rangoon (1995),Adventure|Drama|War,"Beyond, Rangoon, Epic, Action-Packed, Exciting"
156,Blue in the Face (1995),Comedy|Drama,"Blue, Face, Funny, Lighthearted, Satire"
157,Canadian Bacon (1995),Comedy|War,"Canadian, Bacon, Funny, Lighthearted, Satire"
158,Casper (1995),Adventure|Children,"Casper, Epic, Action-Packed, Exciting, Family-Friendly"
159,Clockers (1995),Crime|Drama|Mystery,"Clockers, Thriller, Suspense, Noir, Emotional"
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,"Congo, Fast-Paced, Exciting, Adrenaline, Epic"
161,Crimson Tide (1995),Drama|Thriller|War,"Crimson, Tide, Emotional, Serious, Thought-Provoking"
162,Crumb (1994),Documentary,"Crumb, Informative, Real-Life, Educational"
163,Desperado (1995),Action|Romance|Western,"Desperado, Fast-Paced, Exciting, Adrenaline, Romantic"
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,"Devil, Blue, Dress, Suspense, Noir"
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,"Die, Hard, Vengeance, Fast-Paced, Exciting"
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"Doom, Generation, Funny, Lighthearted, Satire"
168,First Knight (1995),Action|Drama|Romance,"First, Knight, Fast-Paced, Exciting, Adrenaline"
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,"Free, Willy, 2, Home, Epic"
170,Hackers (1995),Action|Adventure|Crime|Thriller,"Hackers, Fast-Paced, Exciting, Adrenaline, Epic"
171,Jeffrey (1995),Comedy|Drama,"Jeffrey, Funny, Lighthearted, Satire, Emotional"
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,"Johnny, Mnemonic, Fast-Paced, Exciting, Adrenaline"
173,Judge Dredd (1995),Action|Crime|Sci-Fi,"Judge, Dredd, Fast-Paced, Exciting, Adrenaline"
174,Jury Duty (1995),Comedy,"Jury, Duty, Funny, Lighthearted, Satire"
175,Kids (1995),Drama,"Kids, Emotional, Serious, Thought-Provoking"
176,Living in Oblivion (1995),Comedy,"Living, Oblivion, Funny, Lighthearted, Satire"
177,Lord of Illusions (1995),Horror,"Lord, Illusions, Scary, Dark, Supernatural"
178,Love & Human Remains (1993),Comedy|Drama,"Love, Human, Remains, Funny, Lighthearted"
179,Mad Love (1995),Drama|Romance,"Mad, Love, Emotional, Serious, Thought-Provoking"
180,Mallrats (1995),Comedy|Romance,"Mallrats, Funny, Lighthearted, Satire, Romantic"
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,"Mighty, Morphin, Power, Rangers, Movie, Fast-Paced"
183,Mute Witness (1994),Comedy|Horror|Thriller,"Mute, Witness, Funny, Lighthearted, Satire"
184,Nadja (1994),Drama,"Nadja, Emotional, Serious, Thought-Provoking"
185,"Net, The (1995)",Action|Crime|Thriller,"Net, Fast-Paced, Exciting, Adrenaline, Suspense"
186,Nine Months (1995),Comedy|Romance,"Nine, Months, Funny, Lighthearted, Satire"
187,Party Girl (1995),Comedy,"Party, Girl, Funny, Lighthearted, Satire"
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,"Prophecy, Magical, Imaginative, Otherworldly, Scary"
189,Reckless (1995),Comedy|Fantasy,"Reckless, Funny, Lighthearted, Satire, Magical"
190,Safe (1995),Thriller,"Safe, Suspenseful, Tense, Edge-of-Seat"
191,"Scarlet Letter, The (1995)",Drama|Romance,"Scarlet, Letter, Emotional, Serious, Thought-Provoking"
193,Showgirls (1995),Drama,"Showgirls, Emotional, Serious, Thought-Provoking"
194,Smoke (1995),Comedy|Drama,"Smoke, Funny, Lighthearted, Satire, Emotional"
195,Something to Talk About (1995),Comedy|Drama|Romance,"Something, Talk, About, Funny, Lighthearted"
196,Species (1995),Horror|Sci-Fi,"Species, Scary, Dark, Supernatural, Futuristic"
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,"Strange, Days, Fast-Paced, Exciting, Adrenaline"
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,"Umbrellas, Cherbourg, Parapluies, De, Les, Emotional"
201,Three Wishes (1995),Drama|Fantasy,"Three, Wishes, Emotional, Serious, Thought-Provoking"
202,Total Eclipse (1995),Drama|Romance,"Total, Eclipse, Emotional, Serious, Thought-Provoking"
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"Wong, Foo, Thanks, Everything, Julie, Funny"
204,Under Siege 2: Dark Territory (1995),Action,"Under, Siege, 2, Dark, Territory, Fast-Paced"
205,Unstrung Heroes (1995),Comedy|Drama,"Unstrung, Heroes, Funny, Lighthearted, Satire"
206,Unzipped (1995),Documentary,"Unzipped, Informative, Real-Life, Educational"
207,"Walk in the Clouds, A (1995)",Drama|Romance,"Walk, Clouds, Emotional, Serious, Thought-Provoking"
208,Waterworld (1995),Action|Adventure|Sci-Fi,"Waterworld, Fast-Paced, Exciting, Adrenaline, Epic"
209,White Man's Burden (1995),Drama,"White, Man, S, Burden, Emotional"
210,Wild Bill (1995),Western,"Wild, Bill, Rugged, Historical, Epic"
211,"Browning Version, The (1994)",Drama,"Browning, Version, Emotional, Serious, Thought-Provoking"
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,"Bushwhacked, Epic, Action-Packed, Exciting, Funny"
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,"Burnt, Sun, Utomlyonnye, Solntsem, Emotional"
214,Before the Rain (Pred dozhdot) (1994),Drama|War,"Before, Rain, Pred, Dozhdot, Emotional"
215,Before Sunrise (1995),Drama|Romance,"Before, Sunrise, Emotional, Serious, Thought-Provoking"
216,Billy Madison (1995),Comedy,"Billy, Madison, Funny, Lighthearted, Satire"
217,"Babysitter, The (1995)",Drama|Thriller,"Babysitter, Emotional, Serious, Thought-Provoking, Suspenseful"
218,Boys on the Side (1995),Comedy|Drama,"Boys, Side, Funny, Lighthearted, Satire"
219,"Cure, The (1995)",Drama,"Cure, Emotional, Serious, Thought-Provoking"
220,Castle Freak (1995),Horror,"Castle, Freak, Scary, Dark, Supernatural"
222,Circle of Friends (1995),Drama|Romance,"Circle, Friends, Emotional, Serious, Thought-Provoking"
223,Clerks (1994),Comedy,"Clerks, Funny, Lighthearted, Satire"
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,"Don, Juan, Demarco, Funny, Lighthearted"
225,Disclosure (1994),Drama|Thriller,"Disclosure, Emotional, Serious, Thought-Provoking, Suspenseful"
227,Drop Zone (1994),Action|Thriller,"Drop, Zone, Fast-Paced, Exciting, Adrenaline"
228,Destiny Turns on the Radio (1995),Comedy,"Destiny, Turns, Radio, Funny, Lighthearted"
229,Death and the Maiden (1994),Drama|Thriller,"Death, Maiden, Emotional, Serious, Thought-Provoking"
230,Dolores Claiborne (1995),Drama|Thriller,"Dolores, Claiborne, Emotional, Serious, Thought-Provoking"
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,"Dumb, Dumber, Epic, Action-Packed, Exciting"
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,"Eat, Drink, Man, Woman, Yin, Funny"
233,Exotica (1994),Drama,"Exotica, Emotional, Serious, Thought-Provoking"
234,Exit to Eden (1994),Comedy,"Exit, Eden, Funny, Lighthearted, Satire"
235,Ed Wood (1994),Comedy|Drama,"Ed, Wood, Funny, Lighthearted, Satire"
236,French Kiss (1995),Action|Comedy|Romance,"French, Kiss, Fast-Paced, Exciting, Adrenaline"
237,Forget Paris (1995),Comedy|Romance,"Forget, Paris, Funny, Lighthearted, Satire"
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,"Far, Home, Adventures, Yellow, Dog, Epic"
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,"Goofy, Movie, Family-Friendly, Colorful, Fun"
240,Hideaway (1995),Thriller,"Hideaway, Suspenseful, Tense, Edge-of-Seat"
241,Fluke (1995),Children|Drama,"Fluke, Family-Friendly, Educational, Wholesome, Emotional"
242,Farinelli: il castrato (1994),Drama|Musical,"Farinelli, Il, Castrato, Emotional, Serious"
243,Gordy (1995),Children|Comedy|Fantasy,"Gordy, Family-Friendly, Educational, Wholesome, Funny"
246,Hoop Dreams (1994),Documentary,"Hoop, Dreams, Informative, Real-Life, Educational"
247,Heavenly Creatures (1994),Crime|Drama,"Heavenly, Creatures, Thriller, Suspense, Noir"
248,Houseguest (1994),Comedy,"Houseguest, Funny, Lighthearted, Satire"
249,Immortal Beloved (1994),Drama|Romance,"Immortal, Beloved, Emotional, Serious, Thought-Provoking"
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,"Heavyweights, Heavy, Weights, Family-Friendly, Educational"
251,"Hunted, The (1995)",Action,"Hunted, Fast-Paced, Exciting, Adrenaline"
252,I.Q. (1994),Comedy|Romance,"I, Q, Funny, Lighthearted, Satire"
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,"Interview, Vampire, Chronicles, Emotional, Serious"
254,Jefferson in Paris (1995),Drama,"Jefferson, Paris, Emotional, Serious, Thought-Provoking"
255,"Jerky Boys, The (1995)",Comedy,"Jerky, Boys, Funny, Lighthearted, Satire"
256,Junior (1994),Comedy|Sci-Fi,"Junior, Funny, Lighthearted, Satire, Futuristic"
257,Just Cause (1995),Mystery|Thriller,"Just, Cause, Intriguing, Puzzling, Suspense"
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,"Kid, King, Arthur, S, Court, Epic"
259,Kiss of Death (1995),Crime|Drama|Thriller,"Kiss, Death, Suspense, Noir, Emotional"
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,"Star, Wars, Episode, New, Hope, Fast-Paced"
261,Little Women (1994),Drama,"Little, Women, Emotional, Serious, Thought-Provoking"
262,"Little Princess, A (1995)",Children|Drama,"Little, Princess, Family-Friendly, Educational, Wholesome"
263,Ladybird Ladybird (1994),Drama,"Ladybird, Emotional, Serious, Thought-Provoking"
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,"Like, Water, Chocolate, Como, Agua, Emotional"
266,Legends of the Fall (1994),Drama|Romance|War|Western,"Legends, Fall, Emotional, Serious, Thought-Provoking"
267,Major Payne (1995),Comedy,"Major, Payne, Funny, Lighthearted, Satire"
269,My Crazy Life (Mi vida loca) (1993),Drama,"My, Crazy, Life, Mi, Vida, Emotional"
270,Love Affair (1994),Drama|Romance,"Love, Affair, Emotional, Serious, Thought-Provoking"
271,Losing Isaiah (1995),Drama,"Losing, Isaiah, Emotional, Serious, Thought-Provoking"
272,"Madness of King George, The (1994)",Comedy|Drama,"Madness, King, George, Funny, Lighthearted"
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,"Mary, Shelley, S, Frankenstein, Emotional"
274,Man of the House (1995),Comedy,"Man, House, Funny, Lighthearted, Satire"
275,Mixed Nuts (1994),Comedy,"Mixed, Nuts, Funny, Lighthearted, Satire"
276,Milk Money (1994),Comedy|Romance,"Milk, Money, Funny, Lighthearted, Satire"
277,Miracle on 34th Street (1994),Drama,"Miracle, 34th, Street, Emotional, Serious"
278,Miami Rhapsody (1995),Comedy,"Miami, Rhapsody, Funny, Lighthearted, Satire"
279,My Family (1995),Drama,"My, Family, Emotional, Serious, Thought-Provoking"
280,Murder in the First (1995),Drama|Thriller,"Murder, First, Emotional, Serious, Thought-Provoking"
281,Nobody's Fool (1994),Comedy|Drama|Romance,"Nobody, S, Fool, Funny, Lighthearted"
282,Nell (1994),Drama,"Nell, Emotional, Serious, Thought-Provoking"
283,New Jersey Drive (1995),Crime|Drama,"New, Jersey, Drive, Thriller, Suspense"
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,"New, York, Cop, Nyû, Yôku, Fast-Paced"
285,Beyond Bedlam (1993),Drama|Horror,"Beyond, Bedlam, Emotional, Serious, Thought-Provoking"
287,Nina Takes a Lover (1994),Comedy|Romance,"Nina, Takes, Lover, Funny, Lighthearted"
288,Natural Born Killers (1994),Action|Crime|Thriller,"Natural, Born, Killers, Fast-Paced, Exciting"
289,Only You (1994),Comedy|Romance,"Only, You, Funny, Lighthearted, Satire"
290,Once Were Warriors (1994),Crime|Drama,"Once, Were, Warriors, Thriller, Suspense"
291,Poison Ivy II (1996),Drama|Thriller,"Poison, Ivy, Emotional, Serious, Thought-Provoking"
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,"Outbreak, Fast-Paced, Exciting, Adrenaline, Emotional"
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,"Léon, Professional, K, Fast-Paced, Exciting"
294,"Perez Family, The (1995)",Comedy|Romance,"Perez, Family, Funny, Lighthearted, Satire"
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,"Pyromaniac, S, Love, Story, Funny"
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,"Pulp, Fiction, Funny, Lighthearted, Satire"
298,Pushing Hands (Tui shou) (1992),Drama,"Pushing, Hands, Tui, Shou, Emotional"
299,Priest (1994),Drama,"Priest, Emotional, Serious, Thought-Provoking"
300,Quiz Show (1994),Drama,"Quiz, Show, Emotional, Serious, Thought-Provoking"
301,Picture Bride (Bijo photo) (1994),Drama|Romance,"Picture, Bride, Bijo, Photo, Emotional"
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,"Queen, Margot, Reine, La, Emotional"
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,"Quick, Dead, Fast-Paced, Exciting, Adrenaline"
304,Roommates (1995),Comedy|Drama,"Roommates, Funny, Lighthearted, Satire, Emotional"
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,"Ready, Wear, Pret, Porter, Funny"
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,"Three, Colors, Red, Trois, Couleurs, Emotional"
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,"Three, Colors, Blue, Trois, Couleurs, Emotional"
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,"Three, Colors, White, Trzy, Kolory, Funny"
310,Rent-a-Kid (1995),Comedy,"Rent, Kid, Funny, Lighthearted, Satire"
311,Relative Fear (1994),Horror|Thriller,"Relative, Fear, Scary, Dark, Supernatural"
312,Stuart Saves His Family (1995),Comedy,"Stuart, Saves, His, Family, Funny"
313,"Swan Princess, The (1994)",Animation|Children,"Swan, Princess, Family-Friendly, Colorful, Fun"
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,"Secret, Roan, Inish, Family-Friendly, Educational"
